"","ID","state","attend_online","attend_meet","buttons_signs","donate","contact_congr","registered","party","vote","votechoice","ft_biden","ft_trump","ft_harris","ft_pence","ft_fauci","ft_scotus","ft_congress","ft_police","ft_science","ft_blm","limits_campaigns","limit_imports","immigration","refugees","act_ineq","hist_discrim","econ_mobility","tax_rich","aca","vaccines","reg_emissions","background_checks","freetrade","minwage"
"2443",233329,36,"Yes","Yes","No","Yes","No",NA,4,"Yes","Biden",70,0,85,0,85,40,70,70,85,70,"Favor",1,"Same","Neutral","Favor a great deal","Agree Strongly","A little harder","Favor","Approve","Neutral","Approve","Approve","Disapprove","Raised"
"2444",233336,35,"No","No","No","No","No",NA,1,"Yes","Biden",85,15,85,70,85,70,0,100,70,NA,"Favor",1,"Same","Favor","Favor a moderate amount","Neutral","A little harder","Oppose","Neutral","Approve","Neutral","Approve","Approve","Raised"
"2445",233343,50,"Yes","No","Yes","No","No",NA,NA,"Yes","Biden",60,0,50,0,100,50,50,60,60,60,"Favor",1,"Same","Favor","Favor a great deal","Agree somewhat","A great deal harder","Favor","Neutral","Neutral","Approve","Approve","Approve","Raised"
"2446",233374,8,"No","No","No","No","No",NA,2,"Yes","Trump",30,40,30,50,85,70,15,60,85,60,"Favor",1,"Same","Neutral","Favor a great deal","Agree somewhat","Same","Favor","Neutral","Approve","Approve","Approve","Neutral","Same"
"2447",233381,17,"No","No","No","No","No",NA,NA,"Yes","Trump",0,85,0,100,30,100,0,60,100,0,"Favor",2,"Same","Favor","Favor a great deal","Agree somewhat","A little harder","Favor","Disapprove","Approve","Approve","Approve","Disapprove","Same"
"2448",233398,25,"No","No","No","No","No",NA,4,"Yes","Biden",60,30,70,40,70,60,40,60,70,60,"Favor",2,"Same","Neutral","Favor a little","Agree somewhat","Moderately harder","Favor","Approve","Approve","Approve","Approve","Approve","Raised"
"2449",233428,33,"No","No","Yes","No","No",NA,1,"Yes","Biden",73,4,85,10,65,35,20,40,96,80,"Favor",2,"Increased a lot","Favor","Favor a great deal","Agree Strongly","A great deal harder","Favor","Approve","Approve","Approve","Approve","Neutral","Raised"
"2450",233435,12,"No","No","No","No","No",NA,4,"Yes","Biden",85,0,85,0,100,70,35,75,85,65,"Favor",2,"Same","Neutral","Neutral","Agree somewhat","Moderately harder","Favor","Neutral","Approve","Approve","Approve","Neutral","Raised"
"2451",233442,17,"No","No","No","No","No",NA,NA,"Yes","Biden",85,0,90,15,100,60,70,60,85,100,"Favor",1,"Increased a lot","Favor","Favor a great deal","Agree Strongly","A great deal harder","Favor","Approve","Approve","Approve","Approve","Approve","Raised"
"2452",233459,29,"No","No","No","No","No",NA,NA,"Yes","Biden",37,32,37,42,75,60,30,75,70,42,"Favor",2,"Increased a litte","Favor","Oppose a moderate amount","Disagree Somewhat","Same","Neutral","Neutral","Approve","Disapprove","Approve","Approve","Raised"
"2453",233466,34,"No","No","No","No","No",NA,2,"Yes","Trump",0,100,0,70,55,50,50,100,100,0,"Neutral",1,"Decreased a little","Oppose","Neutral","Disagree strongly","A great deal harder","Favor","Disapprove","Approve","Neutral","Approve","Neutral","Raised"
"2454",233480,55,"Yes","Yes","Yes","Yes","Yes",NA,NA,NA,NA,10,0,50,0,80,85,20,100,100,50,"Favor",1,"Decreased a little","Neutral","Neutral","Disagree Somewhat","A great deal harder","Favor","Approve","Approve","Approve","Approve","Approve","Raised"
"2455",233497,26,"No","No","No","No","No",NA,NA,"Yes","Trump",10,60,0,100,50,60,40,95,50,10,"Neutral",1,"Increased a lot","Favor","Oppose a moderate amount","Disagree Somewhat","Same","Oppose","Disapprove","Disapprove","Disapprove","Approve","Approve","Same"
"2456",233503,12,"No","No","No","No","No",NA,1,"Yes","Biden",100,0,100,0,100,60,85,100,100,60,"Favor",2,"Increased a lot","Favor","Neutral","Disagree Somewhat","A great deal harder","Oppose","Approve","Approve","Approve","Approve","Approve","Raised"
